trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
4480,False,"{'a': 0.0015, 'e': 0.0012083493793133995}",25,11,22.124005698638122,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4481,False,"{'a': 0.0015, 'e': 0.0012065382139580404}",20,8,23.376632440974497,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
4482,False,"{'a': 0.0015, 'e': 0.0012047297633141706}",20,9,20.28677370448815,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4483,False,"{'a': 0.0015, 'e': 0.0012029240233127766}",25,2,36.67355201672778,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
4484,False,"{'a': 0.0015, 'e': 0.0012011209898909426}",25,11,27.6716279449955,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
4485,False,"{'a': 0.0015, 'e': 0.0011993206589918425}",30,19,20.65871861810114,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4486,False,"{'a': 0.0015, 'e': 0.001197523026564731}",25,17,16.801736398020196,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
4487,False,"{'a': 0.0015, 'e': 0.0011957280885649345}",20,3,26.839603537885687,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
4488,False,"{'a': 0.0015, 'e': 0.0011939358409538419}",25,2,34.01139701832398,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
4489,False,"{'a': 0.0015, 'e': 0.001192146279698895}",20,10,18.367914731997324,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4490,False,"{'a': 0.0015, 'e': 0.0011903594007735803}",25,14,21.048063390254754,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4491,False,"{'a': 0.0015, 'e': 0.0011885752001574196}",25,14,14.080436198461278,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4492,False,"{'a': 0.0015, 'e': 0.0011867936738359606}",20,11,16.326878712638717,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
4493,False,"{'a': 0.0015, 'e': 0.0011850148178007686}",20,10,21.073854422068298,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
4494,False,"{'a': 0.0015, 'e': 0.0011832386280494164}",20,7,19.15239426610299,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4495,False,"{'a': 0.0015, 'e': 0.0011814651005854766}",35,20,25.13757161598142,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
